"Row.ID","Order.ID","Order.Date","Ship.Date","Ship.Mode","Customer.ID","Customer.Name","Segment","Country","City","State","Postal.Code","Region","Product.ID","Category","Sub.Category","Product.Name","Sales","discount","transactionSalesDecileRank","cleanOrderDate","weekdays","month","yr"
1,"CA-2017-152156","08/11/2017","11/11/2017","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky",42420,"South","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase",261.96,4.82929342506146,8,2017-11-08,"Wednesday",11,2017
2,"CA-2017-152156","08/11/2017","11/11/2017","Second Class","CG-12520","Claire Gute","Consumer","United States","Henderson","Kentucky",42420,"South","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,4.97774292421107,10,2017-11-08,"Wednesday",11,2017
3,"CA-2017-138688","12/06/2017","16/06/2017","Second Class","DV-13045","Darrin Van Huff","Corporate","United States","Los Angeles","California",90036,"West","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal",14.62,5.05844411766831,3,2017-06-12,"Monday",6,2017
4,"US-2016-108966","11/10/2016","18/10/2016","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida",33311,"South","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",957.5775,4.71543022973707,10,2016-10-11,"Tuesday",10,2016
5,"US-2016-108966","11/10/2016","18/10/2016","Standard Class","SO-20335","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida",33311,"South","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold 'N Roll Cart System",22.368,4.99291246888111,4,2016-10-11,"Tuesday",10,2016
6,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,5.00060558921576,5,2015-06-09,"Tuesday",6,2015
7,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","OFF-AR-10002833","Office Supplies","Art","Newell 322",7.28,4.89252600398654,1,2015-06-09,"Tuesday",6,2015
8,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone",907.152,4.89533681442158,10,2015-06-09,"Tuesday",6,2015
9,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",18.504,4.89355480009067,3,2015-06-09,"Tuesday",6,2015
10,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge",114.9,4.86099621709559,7,2015-06-09,"Tuesday",6,2015
11,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables",1706.184,4.90228073002465,10,2015-06-09,"Tuesday",6,2015
12,"CA-2015-115812","09/06/2015","14/06/2015","Standard Class","BH-11710","Brosina Hoffman","Consumer","United States","Los Angeles","California",90032,"West","TEC-PH-10002033","Technology","Phones","Konftel 250 Conference phone - Charcoal black",911.424,4.85016135551403,10,2015-06-09,"Tuesday",6,2015
13,"CA-2018-114412","15/04/2018","20/04/2018","Standard Class","AA-10480","Andrew Allen","Consumer","United States","Concord","North Carolina",28027,"South","OFF-PA-10002365","Office Supplies","Paper","Xerox 1967",15.552,4.8723746105362,3,2018-04-15,"Sunday",4,2018
14,"CA-2017-161389","05/12/2017","10/12/2017","Standard Class","IM-15070","Irene Maddox","Consumer","United States","Seattle","Washington",98103,"West","OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine",407.976,4.95644588172763,9,2017-12-05,"Tuesday",12,2017
15,"US-2016-118983","22/11/2016","26/11/2016","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas",76106,"Central","OFF-AP-10002311","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.04594940589708,6,2016-11-22,"Tuesday",11,2016
16,"US-2016-118983","22/11/2016","26/11/2016","Standard Class","HP-14815","Harold Pawlan","Home Office","United States","Fort Worth","Texas",76106,"Central","OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544,4.93897145056092,1,2016-11-22,"Tuesday",11,2016
17,"CA-2015-105893","11/11/2015","18/11/2015","Standard Class","PK-19075","Pete Kriz","Consumer","United States","Madison","Wisconsin",53711,"Central","OFF-ST-10004186","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,4.89889904941934,10,2015-11-11,"Wednesday",11,2015
18,"CA-2015-167164","13/05/2015","15/05/2015","Second Class","AG-10270","Alejandro Grove","Consumer","United States","West Jordan","Utah",84084,"West","OFF-ST-10000107","Office Supplies","Storage","Fellowes Super Stor/Drawer",55.5,4.85888045833702,6,2015-05-13,"Wednesday",5,2015
19,"CA-2015-143336","27/08/2015","01/09/2015","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"West","OFF-AR-10003056","Office Supplies","Art","Newell 341",8.56,4.86628283197311,2,2015-08-27,"Thursday",8,2015
20,"CA-2015-143336","27/08/2015","01/09/2015","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"West","TEC-PH-10001949","Technology","Phones","Cisco SPA 501G IP Phone",213.48,5.19158351784893,8,2015-08-27,"Thursday",8,2015
21,"CA-2015-143336","27/08/2015","01/09/2015","Second Class","ZD-21925","Zuschuss Donatelli","Consumer","United States","San Francisco","California",94109,"West","OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""",22.72,4.9634088220152,4,2015-08-27,"Thursday",8,2015
22,"CA-2017-137330","09/12/2017","13/12/2017","Standard Class","KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska",68025,"Central","OFF-AR-10000246","Office Supplies","Art","Newell 318",19.46,4.90093141033091,3,2017-12-09,"Saturday",12,2017
23,"CA-2017-137330","09/12/2017","13/12/2017","Standard Class","KB-16585","Ken Black","Corporate","United States","Fremont","Nebraska",68025,"Central","OFF-AP-10001492","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34,4.90594521276468,6,2017-12-09,"Saturday",12,2017
24,"US-2018-156909","16/07/2018","18/07/2018","Second Class","SF-20065","Sandra Flanagan","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",71.372,4.99595894410059,6,2018-07-16,"Monday",7,2018
25,"CA-2016-106320","25/09/2016","30/09/2016","Standard Class","EB-13870","Emily Burns","Consumer","United States","Orem","Utah",84057,"West","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",1044.63,4.88062797530625,10,2016-09-25,"Sunday",9,2016
26,"CA-2017-121755","16/01/2017","20/01/2017","Second Class","EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California",90049,"West","OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders",11.648,4.80517950896135,2,2017-01-16,"Monday",1,2017
27,"CA-2017-121755","16/01/2017","20/01/2017","Second Class","EH-13945","Eric Hoffmann","Consumer","United States","Los Angeles","California",90049,"West","TEC-AC-10003027","Technology","Accessories","Imation 8GB Mini TravelDrive USB 2.0 Flash Drive",90.57,5.00747557209007,7,2017-01-16,"Monday",1,2017
28,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,4.84763442770361,10,2016-09-17,"Saturday",9,2016
29,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems",9.618,4.94848616996358,2,2016-09-17,"Saturday",9,2016
30,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","FUR-FU-10004848","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,4.85640513988316,7,2016-09-17,"Saturday",9,2016
31,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-EN-10001509","Office Supplies","Envelopes","Poly String Tie Envelopes",3.264,5.06022975462003,1,2016-09-17,"Saturday",9,2016
32,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10004042","Office Supplies","Art","BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,4.90244069211309,6,2016-09-17,"Saturday",9,2016
33,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,4.87905599624875,1,2016-09-17,"Saturday",9,2016
34,"US-2016-150630","17/09/2016","21/09/2016","Standard Class","TB-21520","Tracy Blumstein","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","OFF-AR-10001683","Office Supplies","Art","Lumber Crayons",15.76,4.89987419394052,3,2016-09-17,"Saturday",9,2016
35,"CA-2018-107727","19/10/2018","23/10/2018","Second Class","MA-17560","Matt Abelman","Home Office","United States","Houston","Texas",77095,"Central","OFF-PA-10000249","Office Supplies","Paper","Easy-staple paper",29.472,4.78709065309213,4,2018-10-19,"Friday",10,2018
36,"CA-2017-117590","08/12/2017","10/12/2017","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas",75080,"Central","TEC-PH-10004977","Technology","Phones","GE 30524EE4",1097.544,4.83323807379058,10,2017-12-08,"Friday",12,2017
