"FirstName","LastName","lat","lon","county","city","state","LandValue","DwellingUnitSize","PropertyType","EstHomeValue"
"Leena","Kiehn",38.0331,-91.33403,"Crawford County","Cuba","Missouri","$9000","","Unknown","$137178"
"Kelley","Schimmel",30.28269,-89.8009,"Saint Tammany Parish","Slidell","Louisiana","$46000","1-Single Family Dwelling","Residential","$500400"
"Glennis","Oberbrunner",46.7381,-95.4427,"Becker County","Evergreen","Minnesota","$42000","4","Residential","$171400"
"Eleni","Russel",43.2928,-84.03164,"Saginaw County","Clausedale","Michigan","","","Residential","$113800"
"Rudolph","Howell",38.09587,-92.54935,"Miller County","Kaiser","Missouri","$17000","1-Single Family Dwelling","Residential","$37500"
"Francis","Brakus",31.58184,-95.17216,"Houston County","Weeping Mary","Texas","$23000","1-Single Family Dwelling","Residential","$136900"
"Corey","Beer",41.87315,-72.85815,"Hartford County","West Simsbury","Connecticut","$6000","1-Single Family Dwelling","Condominium","$112500"
"Brian","Brown",38.21093,-81.62706,"Kanawha County","Marmet","West Virginia","$4000","","Residential","$195624"
"Stacy","O'Kon",37.77067,-87.11538,"Daviess County","Owensboro","Kentucky","$9000","1-Single Family Dwelling","Residential","$145700"
"Joseph","Corkery",29.53219,-81.68369,"Putnam County","Saratoga","Florida","$15000","1-Single Family Dwelling","Residential","$224936"
"Odell","Nader",48.18431,-120.28231,"Okanogan County","Foggy Dew Ridge","Washington","$3000","1-Single Family Dwelling","Residential","$87000"
"Sharda","Quitzon",39.07256,-84.32188,"Hamilton County","Cherry Grove","Ohio","$14000","1-Single Family Dwelling","Residential","$152940"
"Virgilio","Bailey",67.29833,-160.36556,"NULL","Gold Run Creek","NULL","","1-Single Family Dwelling","Residential","$162239"
"Lavonne","Runolfsdottir",40.16871,-76.16717,"Lancaster County","Ephrata","Pennsylvania","","1-Single Family Dwelling","Residential","$32300"
"Tim","Mohr",41.7717,-90.48097,"Clinton County","De Witt","Iowa","$26000","1-Single Family Dwelling","Residential","$78900"
"Georgette","Breitenberg",34.6376,-90.45705,"Tunica County","Austin","Mississippi","$7000","1-Single Family Dwelling","Apartment/Group Living","$245321"
"Rena","Christiansen",35.3793,-81.19036,"Gaston County","Dallas","North Carolina","$18000","2-Duplex","Residential","$66800"
"Adalberto","Vandervort",33.20531,-115.25276,"Imperial County","Hayden Well","California","$10000","5-9","Condominium","$212500"
"Valentine","Cole",35.74086,-106.88448,"Sandoval County","Semilla Canyon","New Mexico","","1-Single Family Dwelling","Residential","$224800"
"Julieann","Emmerich",37.71379,-91.8184,"Phelps County","Edgar Springs","Missouri","$3000","1-Single Family Dwelling","Residential","$453700"
"Fallon","Carter",43.81516,-117.99157,"Harney County","Currey Canyon","Oregon","$6000","1-Single Family Dwelling","Residential","$291273"
"Hilario","Nicolas",33.48678,-92.28681,"Bradley County","Lanark","Arkansas","","1-Single Family Dwelling","Residential","$61400"
"Shanell","Schaefer",48.77793,-119.93536,"Okanogan County","Lost Spoon Camp","Washington","$17000","1-Single Family Dwelling","Apartment/Group Living","$68200"
"Palmer","Swift",45.85,-102.23377,"Perkins County","Robert Kressly Dam","South Dakota","$12000","","Residential","$117386"
"Loriann","Hamill",26.28193,-80.12898,"Broward County","Pompano Beach","Florida","","1-Single Family Dwelling","Residential","$125000"
"Antonio","Corwin",43.50583,-102.01432,"Jackson County","Potato Creek","South Dakota","","1-Single Family Dwelling","Residential","$314900"
"Larae","Cole",42.73312,-93.73515,"Wright County","Clarion","Iowa","$12000","1-Single Family Dwelling","Unknown","$146452"
"Kristen","Rempel",34.19348,-81.00981,"Richland County","Blythewood","South Carolina","$11000","","Residential","$542100"
"Suzanne","Heathcote",36.48708,-80.02504,"Rockingham County","Ayersville","North Carolina","$7000","1-Single Family Dwelling","Residential","$457600"
"Laurence","Daniel",34.08223,-118.24146,"Los Angeles County","Los Angeles","California","$13000","1-Single Family Dwelling","Residential","$60525"
"Darwin","Sawayn",37.86996,-114.53555,"Lincoln County","Big Trees","Nevada","$22000","1-Single Family Dwelling","Residential",""
"Cleveland","Kuphal",40.31619,-79.35991,"Westmoreland County","Latrobe","Pennsylvania","$6000","1-Single Family Dwelling","Apartment/Group Living","$77500"
"Constance","Kirlin",40.56348,-122.99836,"Trinity County","Hoosimbim Mountain","California","$15000","1-Single Family Dwelling","Residential","$112500"
"Nettie","Jacobi",39.10838,-89.81621,"Macoupin County","Gillespie","Illinois","$13000","1-Single Family Dwelling","Residential","$125800"
"Gay","Marquardt",32.85315,-105.41081,"Otero County","Woodson Canyon","New Mexico","$88000","","Residential","$194800"
"Renita","Vandervort",47.55095,-120.6812,"Chelan County","Leavenworth","Washington","$15000","5-9","Residential","$162500"
"Martine","Nikolaus",44.64469,-89.85318,"Wood County","Milladore","Wisconsin","$16000","1-Single Family Dwelling","Residential","$146452"
"Wilma","Abbott",33.43039,-91.04094,"Washington County","Greenville","Mississippi","$3000","","Residential","$99300"
"Maxine","Schamberger",30.68009,-91.36543,"Pointe Coupee Parish","New Roads","Louisiana","","1-Single Family Dwelling","Residential","$132500"
"Harriett","Rodriguez",44.81968,-90.95709,"Eau Claire County","Wilson","Wisconsin","$7000","1-Single Family Dwelling","Residential","$213100"
"Denny","Roob",36.14728,-85.46664,"Putnam County","Cookeville","Tennessee","$14000","1-Single Family Dwelling","Residential","$155100"
